county,agencies,year,population,crimesperperson,index_total,violentperperson,violent_total,murderperperson,murder,rapeperperson,rape,robberyperperson,robbery,aggravated_assaultperperson,aggravated_assault,propertyperperson,property_total,burglaryperperson,burglary,larcenyperperson,larceny,vehicletheftperperson,motor_vehicle_theft
Albany,38,1990,292812,0.1938,6635,0.0208,1052,0.0002,9,0.0016,82,0.0061,386,0.0129,575,0.1730,5583,0.0431,1884,0.1203,3264,0.0096,435
Allegany,20,1990,50470,0.1014,137,0.0116,14,0.0000,0,0.0006,3,0.0002,1,0.0108,10,0.0899,123,0.0300,19,0.0583,101,0.0016,3
Bronx,2,1990,1203789,0.1740,104729,0.0559,33635,0.0011,652,0.0011,645,0.0297,17873,0.0240,14465,0.1181,71094,0.0316,19010,0.0484,29115,0.0382,22969
Broome,26,1990,212160,0.1410,2893,0.0058,97,0.0001,5,0.0009,21,0.0013,46,0.0035,25,0.1353,2796,0.0226,349,0.1054,2336,0.0073,111
Cattaraugus,22,1990,84234,0.1224,78,0.0081,17,0.0000,0,0.0006,0,0.0006,1,0.0069,16,0.1143,61,0.0264,4,0.0839,57,0.0040,0
Cayuga,18,1990,82313,0.1133,1330,0.0095,49,0.0001,2,0.0009,12,0.0009,14,0.0076,21,0.1038,1281,0.0277,273,0.0735,1002,0.0026,6
Chautauqua,26,1990,141895,0.1610,67,0.0065,5,0.0001,0,0.0007,0,0.0012,0,0.0045,5,0.1546,62,0.0287,15,0.1223,46,0.0035,1
Chemung,18,1990,95195,0.1603,3,0.0119,0,0.0002,0,0.0009,0,0.0018,0,0.0090,0,0.1484,3,0.0270,0,0.1154,3,0.0060,0
Chenango,20,1990,51768,0.0910,28,0.0060,6,0.0002,0,0.0002,1,0.0001,0,0.0056,5,0.0850,22,0.0209,2,0.0619,20,0.0022,0
Clinton,18,1990,85969,0.1033,4,0.0113,0,0.0000,0,0.0005,0,0.0005,0,0.0103,0,0.0921,4,0.0246,1,0.0656,3,0.0019,0
Columbia,24,1990,62982,0.1241,177,0.0161,24,0.0000,0,0.0004,0,0.0004,1,0.0152,23,0.1080,153,0.0283,31,0.0751,119,0.0046,3
Cortland,14,1990,48963,0.1734,1108,0.0078,27,0.0001,0,0.0011,10,0.0012,8,0.0054,9,0.1656,1081,0.0338,215,0.1273,840,0.0045,26
Delaware,20,1990,47352,0.0922,15,0.0062,0,0.0000,0,0.0003,0,0.0002,0,0.0057,0,0.0861,15,0.0284,4,0.0542,11,0.0035,0
Dutchess,38,1990,259462,0.1381,513,0.0170,128,0.0002,1,0.0006,3,0.0048,22,0.0115,102,0.1211,385,0.0254,164,0.0877,191,0.0080,30
Erie,60,1990,968584,0.2160,7,0.0305,1,0.0002,0,0.0017,0,0.0101,0,0.0185,1,0.1855,6,0.0496,2,0.1139,4,0.0220,0
Essex,10,1990,37152,0.1033,959,0.0084,78,0.0000,0,0.0006,6,0.0002,2,0.0075,70,0.0949,881,0.0351,326,0.0575,534,0.0023,21
Franklin,10,1990,46540,0.1002,1166,0.0194,226,0.0001,1,0.0004,5,0.0007,8,0.0182,212,0.0808,940,0.0246,286,0.0544,633,0.0018,21
Fulton,12,1990,54191,0.1667,2259,0.0072,98,0.0000,0,0.0007,9,0.0007,9,0.0059,80,0.1595,2161,0.0314,425,0.1228,1663,0.0054,73
Genesee,14,1990,60060,0.1097,689,0.0059,16,0.0000,0,0.0005,1,0.0009,9,0.0045,6,0.1038,673,0.0215,107,0.0788,558,0.0035,8
Greene,20,1990,44739,0.1287,47,0.0183,7,0.0001,0,0.0012,0,0.0007,0,0.0164,7,0.1104,40,0.0354,14,0.0708,24,0.0042,2
Hamilton,8,1990,5279,0.0758,100,0.0030,4,0.0000,0,0.0000,0,0.0000,0,0.0030,4,0.0727,96,0.0235,31,0.0455,60,0.0038,5
Herkimer,16,1990,65809,0.0782,1287,0.0047,77,0.0000,0,0.0004,7,0.0002,3,0.0041,67,0.0735,1210,0.0248,408,0.0464,763,0.0024,39
Jefferson,32,1990,110943,0.1130,44,0.0067,3,0.0002,0,0.0005,0,0.0004,0,0.0057,3,0.1063,41,0.0273,14,0.0771,27,0.0019,0
Kings,2,1990,2300664,0.1756,202009,0.0548,63087,0.0007,759,0.0010,1159,0.0316,36341,0.0216,24828,0.1208,138922,0.0339,39041,0.0477,54827,0.0392,45054
Lewis,8,1990,26796,0.0481,322,0.0054,36,0.0004,3,0.0004,3,0.0000,0,0.0045,30,0.0427,286,0.0216,145,0.0188,126,0.0022,15
Livingston,24,1990,62372,0.1228,75,0.0094,7,0.0000,0,0.0011,0,0.0004,1,0.0080,6,0.1134,68,0.0196,10,0.0923,57,0.0014,1
Madison,24,1990,69166,0.1106,134,0.0035,2,0.0001,0,0.0003,0,0.0005,2,0.0025,0,0.1072,132,0.0208,22,0.0837,106,0.0027,4
Monroe,34,1990,713968,0.2385,1123,0.0186,25,0.0003,0,0.0013,0,0.0081,17,0.0089,8,0.2200,1098,0.0445,191,0.1580,850,0.0175,57
Montgomery,16,1990,51981,0.0781,435,0.0026,15,0.0000,0,0.0006,3,0.0003,3,0.0017,9,0.0755,420,0.0230,164,0.0502,244,0.0023,12
Nassau,56,1990,1287873,0.1309,5,0.0100,1,0.0001,0,0.0003,0,0.0047,0,0.0049,1,0.1209,4,0.0214,0,0.0718,4,0.0276,0
"New York",2,1990,1487536,0.2928,217786,0.0597,44434,0.0007,497,0.0009,685,0.0363,26991,0.0219,16261,0.2331,173352,0.0391,29074,0.1650,122704,0.0290,21574
Niagara,22,1990,220756,0.1778,9810,0.0179,986,0.0001,4,0.0016,91,0.0035,193,0.0126,698,0.1599,8824,0.0374,2062,0.1103,6086,0.0122,676
Oneida,42,1990,250836,0.1236,13,0.0062,5,0.0001,0,0.0005,1,0.0024,0,0.0031,4,0.1174,8,0.0292,6,0.0813,2,0.0068,0
Onondaga,46,1990,468973,0.1861,198,0.0149,11,0.0001,0,0.0014,4,0.0049,1,0.0085,6,0.1712,187,0.0393,24,0.1238,158,0.0081,5
Ontario,18,1990,95101,0.1089,447,0.0051,11,0.0000,0,0.0011,1,0.0007,1,0.0034,9,0.1038,436,0.0204,44,0.0811,384,0.0023,8
Orange,70,1990,307571,0.1447,210,0.0174,7,0.0002,1,0.0008,0,0.0048,1,0.0116,5,0.1273,203,0.0314,67,0.0889,126,0.0070,10
Orleans,14,1990,41846,0.1055,277,0.0152,44,0.0003,1,0.0006,1,0.0010,6,0.0134,36,0.0903,233,0.0175,30,0.0697,199,0.0032,4
