county,agencies,year,population,crimesperthousand,index_total,violentperthousand,violent_total,murderperthousand,murder,"rapeperperson * 1000",rape,robberyperthousand,robbery,aggravated_assaultperthousand,aggravated_assault,propertyperthousand,property_total,burglaryperthousand,burglary,larcenyperthousand,larceny,vehicletheftperthousand,motor_vehicle_theft
Albany,342,1990,292812,1744.2000,6635,187.1000,1052,1.5000,9,14.6000,82,55.3000,386,115.8000,575,1557.2000,5583,388.0000,1884,1082.4000,3264,86.8000,435
Allegany,180,1990,50470,913.0000,137,104.1000,14,0.0000,0,5.0000,3,2.1000,1,97.0000,10,808.9000,123,270.3000,19,524.3000,101,14.3000,3
Bronx,18,1990,1203789,1566.0000,104729,502.9000,33635,9.7000,652,9.6000,645,267.3000,17873,216.3000,14465,1063.1000,71094,284.3000,19010,435.4000,29115,343.5000,22969
Broome,234,1990,212160,1269.2000,2893,51.9000,97,1.2000,5,8.0000,21,11.5000,46,31.2000,25,1217.3000,2796,203.1000,349,948.7000,2336,65.5000,111
Cattaraugus,198,1990,84234,1101.8000,78,73.1000,17,0.4000,0,5.1000,0,5.6000,1,62.0000,16,1028.7000,61,237.6000,4,754.8000,57,36.3000,0
Cayuga,162,1990,82313,1019.5000,1330,85.7000,49,0.9000,2,7.9000,12,8.3000,14,68.7000,21,933.8000,1281,249.3000,273,661.3000,1002,23.2000,6
Chautauqua,234,1990,141895,1449.4000,67,58.1000,5,0.5000,0,6.6000,0,10.4000,0,40.6000,5,1391.3000,62,258.5000,15,1101.1000,46,31.7000,1
Chemung,162,1990,95195,1443.1000,3,107.4000,0,1.9000,0,8.3000,0,16.3000,0,80.9000,0,1335.7000,3,242.8000,0,1038.8000,3,54.1000,0
Chenango,180,1990,51768,819.2000,28,54.2000,6,1.4000,0,2.1000,1,0.7000,0,50.1000,5,765.0000,22,187.8000,2,557.0000,20,20.2000,0
Clinton,162,1990,85969,930.1000,4,101.3000,0,0.0000,0,4.6000,0,4.2000,0,92.5000,0,828.7000,4,221.5000,1,590.4000,3,16.8000,0
Columbia,216,1990,62982,1116.9000,177,144.6000,24,0.0000,0,4.0000,0,4.0000,1,136.6000,23,972.3000,153,254.9000,31,675.6000,119,41.7000,3
Cortland,126,1990,48963,1560.9000,1108,70.6000,27,0.7000,0,10.3000,10,11.0000,8,48.5000,9,1490.3000,1081,304.4000,215,1145.5000,840,40.4000,26
Delaware,180,1990,47352,830.2000,15,55.5000,0,0.0000,0,3.0000,0,1.5000,0,50.9000,0,774.7000,15,255.4000,4,488.1000,11,31.2000,0
Dutchess,342,1990,259462,1242.8000,513,153.2000,128,1.4000,1,5.8000,3,42.9000,22,103.1000,102,1089.6000,385,228.2000,164,789.3000,191,72.0000,30
Erie,540,1990,968584,1944.4000,7,274.7000,1,1.7000,0,15.6000,0,91.1000,0,166.2000,1,1669.7000,6,446.7000,2,1024.9000,4,198.1000,0
Essex,90,1990,37152,929.3000,959,75.6000,78,0.0000,0,5.8000,6,1.9000,2,67.8000,70,853.7000,881,315.9000,326,517.4000,534,20.3000,21
Franklin,90,1990,46540,901.9000,1166,174.8000,226,0.8000,1,3.9000,5,6.2000,8,164.0000,212,727.1000,940,221.2000,286,489.6000,633,16.2000,21
Fulton,108,1990,54191,1500.7000,2259,65.1000,98,0.0000,0,6.0000,9,6.0000,9,53.1000,80,1435.6000,2161,282.3000,425,1104.8000,1663,48.5000,73
Genesee,126,1990,60060,987.2000,689,53.3000,16,0.0000,0,4.8000,1,8.4000,9,40.2000,6,933.9000,673,193.6000,107,709.1000,558,31.2000,8
Greene,180,1990,44739,1158.7000,47,165.0000,7,0.8000,0,10.5000,0,6.4000,0,147.3000,7,993.8000,40,318.6000,14,637.3000,24,37.8000,2
Hamilton,72,1990,5279,681.9000,100,27.3000,4,0.0000,0,0.0000,0,0.0000,0,27.3000,4,654.7000,96,211.4000,31,409.2000,60,34.1000,5
Herkimer,144,1990,65809,704.0000,1287,42.1000,77,0.0000,0,3.8000,7,1.6000,3,36.7000,67,661.9000,1210,223.2000,408,417.4000,763,21.3000,39
Jefferson,288,1990,110943,1017.3000,44,60.7000,3,1.6000,0,4.9000,0,3.2000,0,50.9000,3,956.6000,41,245.3000,14,694.1000,27,17.2000,0
Kings,18,1990,2300664,1580.5000,202009,493.6000,63087,5.9000,759,9.1000,1159,284.3000,36341,194.3000,24828,1086.9000,138922,305.5000,39041,429.0000,54827,352.5000,45054
Lewis,72,1990,26796,432.6000,322,48.4000,36,4.0000,3,4.0000,3,0.0000,0,40.3000,30,384.2000,286,194.8000,145,169.3000,126,20.2000,15
Livingston,216,1990,62372,1105.3000,75,84.8000,7,0.0000,0,9.8000,0,3.5000,1,71.6000,6,1020.5000,68,176.6000,10,831.1000,57,12.7000,1
Madison,216,1990,69166,995.7000,134,31.2000,2,1.0000,0,3.1000,0,4.2000,2,22.9000,0,964.5000,132,186.9000,22,753.7000,106,23.9000,4
Monroe,306,1990,713968,2146.9000,1123,167.3000,25,2.5000,0,11.8000,0,73.1000,17,79.9000,8,1979.7000,1098,400.8000,191,1421.7000,850,157.2000,57
Montgomery,144,1990,51981,702.9000,435,23.5000,15,0.0000,0,5.5000,3,2.8000,3,15.2000,9,679.4000,420,207.1000,164,451.5000,244,20.8000,12
Nassau,504,1990,1287873,1178.0000,5,90.1000,1,1.0000,0,3.0000,0,41.9000,0,44.2000,1,1087.9000,4,192.7000,0,646.5000,4,248.7000,0
"New York",18,1990,1487536,2635.3000,217786,537.7000,44434,6.0000,497,8.3000,685,326.6000,26991,196.8000,16261,2097.7000,173352,351.8000,29074,1484.8000,122704,261.1000,21574
Niagara,198,1990,220756,1599.8000,9810,160.8000,986,0.7000,4,14.8000,91,31.5000,193,113.8000,698,1439.0000,8824,336.3000,2062,992.5000,6086,110.2000,676
Oneida,378,1990,250836,1112.0000,13,55.7000,5,1.0000,0,4.9000,1,21.8000,0,28.0000,4,1056.3000,8,263.2000,6,732.0000,2,61.1000,0
Onondaga,414,1990,468973,1675.2000,198,134.0000,11,1.2000,0,12.5000,4,44.2000,1,76.1000,6,1541.2000,187,354.1000,24,1113.9000,158,73.2000,5
Ontario,162,1990,95101,979.7000,447,45.8000,11,0.0000,0,9.5000,1,6.1000,1,30.3000,9,933.9000,436,183.6000,44,729.5000,384,20.8000,8
Orange,630,1990,307571,1302.1000,210,156.7000,7,2.0000,1,7.5000,0,43.0000,1,104.3000,5,1145.4000,203,282.4000,67,799.9000,126,63.1000,10
Orleans,126,1990,41846,949.8000,277,136.8000,44,2.6000,1,5.2000,1,8.6000,6,120.4000,36,813.0000,233,157.4000,30,627.2000,199,28.4000,4
Oswego,216,1990,121785,997.4000,13,31.3000,0,0.0000,0,5.9000,0,2.4000,0,23.1000,0,966.0000,13,213.7000,0,721.6000,11,30.7000,2
Otsego,126,1990,60390,723.7000,93,39.3000,7,0.6000,0,6.6000,0,3.0000,0,29.2000,7,684.4000,86,175.9000,6,499.6000,80,8.9000,0
Putnam,162,1990,83941,816.1000,536,57.9000,26,0.0000,0,3.9000,2,3.4000,1,50.6000,23,758.2000,510,218.3000,114,488.9000,358,51.0000,38
Queens,18,1990,1951598,1523.5000,165179,280.8000,30441,2.8000,308,5.1000,556,167.3000,18135,105.5000,11442,1242.7000,134738,270.0000,29273,508.8000,55165,463.9000,50300
Rensselaer,216,1990,154429,1267.7000,5438,93.5000,401,0.7000,3,9.8000,42,18.6000,80,64.3000,276,1174.2000,5037,331.5000,1422,786.3000,3373,56.4000,242
