County,PD,Year,Sworn Full Time,Sworn Part Time,Sworn Total,Civilian Full Time,Civilian Part Time,Civilian Total,Full Time Total,Part Time Total,Grand Total
Albany,Albany County Sheriff,2007,131,0,131,41,63,104,172,63,235
Albany,Albany County Sheriff,2008,129,0,129,47,67,114,176,67,243
Albany,Albany County Sheriff,2009,126,0,126,46,72,118,172,72,244
Albany,Albany County Sheriff,2010,122,0,122,46,82,128,168,82,250
Albany,Albany County Sheriff,2011,121,0,121,36,80,116,157,80,237
Albany,Albany County Sheriff,2012,118,0,118,46,88,134,164,88,252
Albany,Albany County Sheriff,2013,120,0,120,45,83,128,165,83,248
Albany,Albany County Sheriff,2014,114,0,114,49,77,126,163,77,240
Albany,Albany County Sheriff,2015,117,0,117,53,79,132,170,79,249
Albany,Albany County Sheriff,2016,113,0,113,59,84,143,172,84,256
Albany,Albany County Sheriff,2017,120,0,120,60,98,158,180,98,278
Albany,Albany City PD,2007,334,0,334,123,71,194,457,71,528
Albany,Albany City PD,2008,332,0,332,124,9,133,456,9,465
Albany,Albany City PD,2009,327,0,327,136,58,194,463,58,521
Albany,Albany City PD,2010,327,0,327,138,66,204,465,66,531
Albany,Albany City PD,2011,312,0,312,132,59,191,444,59,503
Albany,Albany City PD,2012,322,0,322,123,54,177,445,54,499
Albany,Albany City PD,2013,332,0,332,104,52,156,436,52,488
Albany,Albany City PD,2014,337,0,337,121,51,172,458,51,509
Albany,Albany City PD,2015,335,0,335,98,54,152,433,54,487
Albany,Albany City PD,2016,336,0,336,97,58,155,433,58,491
Albany,Albany City PD,2017,333,0,333,85,53,138,418,53,471
Albany,Cohoes City PD,2007,35,0,35,13,17,30,48,17,65
Albany,Cohoes City PD,2008,35,0,35,12,15,27,47,15,62
Albany,Cohoes City PD,2009,36,0,36,13,14,27,49,14,63
Albany,Cohoes City PD,2010,34,0,34,11,15,26,45,15,60
Albany,Cohoes City PD,2011,34,0,34,11,12,23,45,12,57
Albany,Cohoes City PD,2012,32,0,32,4,11,15,36,11,47
Albany,Cohoes City PD,2013,33,0,33,4,11,15,37,11,48
Albany,Cohoes City PD,2014,32,0,32,4,9,13,36,9,45
Albany,Cohoes City PD,2015,31,0,31,4,9,13,35,9,44
Albany,Cohoes City PD,2016,33,0,33,4,9,13,37,9,46
Albany,Cohoes City PD,2017,32,0,32,4,10,14,36,10,46
Albany,Watervliet City PD,2007,26,0,26,4,0,4,30,0,30
Albany,Watervliet City PD,2008,26,0,26,3,0,3,29,0,29
