county,agencies,year,crimespercop,crimetotal,violenttotal,murder,rape,robbery,aggravatedassault,propertytotal,burglary,larceny,vehicletheft,pdcount,swornfulltime,policegrandtotal
Albany,11,2007,8.2605,10210,1441,5,70,435,931,8769,1553,6797,419,11,728,1236
Allegany,10,2007,3.4535,297,40,0,1,2,37,257,58,191,8,10,23,86
Broome,7,2007,14.9302,5136,395,4,47,98,246,4741,611,4026,104,7,280,344
Cattaraugus,8,2007,7.8075,1663,94,2,8,23,61,1569,316,1198,55,8,97,213
Cayuga,5,2007,10.0738,1501,140,1,17,20,102,1361,236,1088,37,5,110,149
Chautauqua,9,2007,8.6511,3521,313,1,42,48,222,3208,766,2345,97,9,221,407
Chemung,5,2007,12.2034,2160,170,3,9,36,122,1990,360,1570,60,5,139,177
Chenango,8,2007,8.4556,761,23,3,8,1,11,738,125,596,17,8,45,90
Clinton,3,2007,8.7531,709,30,0,5,4,21,679,119,547,13,3,70,81
Columbia,8,2007,4.5243,932,78,0,3,11,64,854,190,636,28,8,72,206
Cortland,3,2007,6.2482,856,91,0,12,6,73,765,170,569,26,3,76,137
Delaware,6,2007,5.4894,516,42,0,6,0,36,474,125,334,15,6,35,94
Dutchess,14,2007,8.3219,5559,766,9,23,244,490,4793,721,3837,235,14,386,668
Erie,20,2007,12.3903,31905,4485,57,255,1811,2362,27420,6238,18440,2742,20,1625,2575
Essex,4,2007,1.9552,131,13,0,2,0,11,118,22,88,8,4,48,67
Franklin,4,2007,7.0896,475,30,0,5,0,25,445,100,330,15,4,38,67
Fulton,4,2007,10.2587,1467,90,0,15,6,69,1377,292,1036,49,4,89,143
Genesee,3,2007,9.1620,1301,62,0,8,11,43,1239,234,966,39,3,88,142
Greene,8,2007,3.1286,438,22,0,0,4,18,416,81,320,15,8,48,140
Hamilton,2,2007,4.2500,17,0,0,0,0,0,17,2,15,0,2,2,4
Herkimer,9,2007,7.1429,950,147,1,6,5,135,803,146,645,12,9,66,133
Jefferson,12,2007,9.0000,1854,157,5,17,28,107,1697,268,1344,85,12,127,206
Lewis,2,2007,5.4600,273,20,0,3,0,17,253,74,172,7,2,24,50
Livingston,7,2007,8.4188,1347,48,0,13,4,31,1299,156,1117,26,7,71,160
Madison,6,2007,5.6611,1019,38,0,5,6,27,981,232,725,24,6,79,180
Monroe,11,2007,14.3647,25052,2920,53,174,1200,1493,22132,4173,15839,2120,11,1308,1744
Montgomery,5,2007,4.0946,606,108,1,3,3,101,498,106,372,20,5,67,148
Nassau,20,2007,3.9964,19734,2302,24,92,1053,1133,17432,2386,13470,1576,20,3360,4938
Niagara,8,2007,13.8017,6680,746,4,67,199,476,5934,1416,4155,363,8,363,484
Oneida,14,2007,9.9249,5945,605,10,33,169,393,5340,1210,3883,247,14,402,599
Onondaga,15,2007,10.2889,11822,1718,24,99,505,1090,10104,2513,6858,733,15,907,1149
Ontario,7,2007,10.0909,1554,84,3,12,16,53,1470,342,1092,36,7,107,154
Orange,32,2007,6.7831,7787,927,7,56,315,549,6860,1168,5391,301,32,664,1148
Orleans,4,2007,15.3692,999,76,1,6,10,59,923,207,679,37,4,37,65
Oswego,6,2007,8.7097,1620,123,1,15,23,84,1497,308,1141,48,6,143,186
Otsego,3,2007,7.7317,634,52,0,10,6,36,582,178,389,15,3,50,82
Putnam,5,2007,4.0640,825,54,1,7,8,38,771,129,614,28,5,146,203
Rensselaer,9,2007,11.5141,4076,456,3,31,152,270,3620,820,2580,220,9,230,354
Rockland,10,2007,5.0023,4412,514,1,24,161,328,3898,506,3216,176,10,655,882
Saratoga,7,2007,6.5562,2157,117,0,14,12,91,2040,383,1590,67,7,213,329
Schenectady,6,2007,12.1339,5254,675,5,35,286,349,4579,1016,3210,353,6,280,433
Schoharie,3,2007,4.1690,296,15,0,1,1,13,281,59,215,7,3,28,71
Schuyler,2,2007,8.5625,137,14,0,0,1,13,123,26,93,4,2,5,16
Seneca,4,2007,5.0267,377,14,0,2,1,11,363,31,329,3,4,35,75
